scan,method,floor,thresh,fg,count
Pot_200,otsu,0.6,29.8,0.4416,75
Pot_200,otsu,0.35,29.8,0.4416,80
Pot_200,otsu,0.25,29.8,0.4416,90
Pot_200,otsu,0.2,29.8,0.4416,101
Pot_200,otsu,0.15,29.8,0.4416,134
Pot_200,triangle,0.6,40.8,0.0029,128
Pot_200,triangle,0.35,40.8,0.0029,131
Pot_200,triangle,0.25,40.8,0.0029,133
Pot_200,triangle,0.2,40.8,0.0029,136
Pot_200,triangle,0.15,40.8,0.0029,139
Pot_200,yen,0.6,44.1,0.0027,128
Pot_200,yen,0.35,44.1,0.0027,130
Pot_200,yen,0.25,44.1,0.0027,131
Pot_200,yen,0.2,44.1,0.0027,133
Pot_200,yen,0.15,44.1,0.0027,136
Pot_200,fixed_62,0.6,62.0,0.002,96
Pot_200,fixed_62,0.35,62.0,0.002,116
Pot_200,fixed_62,0.25,62.0,0.002,126
Pot_200,fixed_62,0.2,62.0,0.002,130
Pot_200,fixed_62,0.15,62.0,0.002,131
Pot_200,bg+6mad,0.6,54.1,0.0024,122
Pot_200,bg+6mad,0.35,54.1,0.0024,129
Pot_200,bg+6mad,0.25,54.1,0.0024,130
Pot_200,bg+6mad,0.2,54.1,0.0024,131
Pot_200,bg+6mad,0.15,54.1,0.0024,131
Pot_200,bg+8mad,0.6,62.0,0.002,97
Pot_200,bg+8mad,0.35,62.0,0.002,117
Pot_200,bg+8mad,0.25,62.0,0.002,126
Pot_200,bg+8mad,0.2,62.0,0.002,130
Pot_200,bg+8mad,0.15,62.0,0.002,132
Pot_200,guarded_otsu->fixed_62,0.6,62.0,0.002,96
Pot_200,guarded_otsu->fixed_62,0.35,62.0,0.002,116
Pot_200,guarded_otsu->fixed_62,0.25,62.0,0.002,126
Pot_200,guarded_otsu->fixed_62,0.2,62.0,0.002,130
Pot_200,guarded_otsu->fixed_62,0.15,62.0,0.002,131
Pot_200,guarded_otsu->bg+8mad,0.6,62.0,0.002,97
Pot_200,guarded_otsu->bg+8mad,0.35,62.0,0.002,117
Pot_200,guarded_otsu->bg+8mad,0.25,62.0,0.002,126
