file,true_count,count,count_ratio,true_area,area,area_ratio,n_touching,fill_pct,n_dust,note
batch_000.png,105,110,1.0476,0.81,0.8143,1.0053,37,2.108,375,
batch_001.png,112,70,0.625,1.0768,1.8148,1.6853,95,2.986,241,
batch_002.png,102,84,0.8235,1.5429,1.5004,0.9725,15,3.901,304,
batch_003.png,104,109,1.0481,1.0817,1.0549,0.9752,62,2.785,56,
batch_004.png,24,60,2.5,1.5177,0.5767,0.38,4,0.903,360,
batch_005.png,134,141,1.0522,1.0601,1.0214,0.9635,80,3.516,136,
batch_006.png,152,152,1.0,0.965,0.9122,0.9453,144,3.627,120,
batch_007.png,113,100,0.885,0.6923,0.6518,0.9415,17,1.939,209,
batch_008.png,52,54,1.0385,1.6128,1.488,0.9226,18,2.077,237,
batch_009.png,46,61,1.3261,1.5195,1.3859,0.9121,28,1.731,261,
batch_010.png,23,29,1.2609,1.4621,1.26,0.8618,8,0.834,178,
batch_011.png,43,97,2.2558,1.8028,0.9314,0.5166,37,1.92,285,
batch_012.png,24,24,1.0,1.4143,1.4183,1.0028,4,0.841,239,
batch_013.png,101,109,1.0792,1.6363,1.5636,0.9556,60,4.094,387,
batch_014.png,133,192,1.4436,1.224,1.0015,0.8182,126,4.029,170,
batch_015.png,114,117,1.0263,1.1066,1.0967,0.991,39,3.125,192,
batch_016.png,63,80,1.2698,1.5689,1.3841,0.8822,54,2.447,156,
batch_017.png,8,14,1.75,1.9025,1.198,0.6297,7,0.377,104,
batch_018.png,8,6,0.75,0.922,0.8715,0.9452,0,0.183,54,Otsu was degenerate (>15% foreground); used fixed threshold 62. Scan is nearly empty - verify against weight.
batch_019.png,91,92,1.011,0.6727,0.6609,0.9824,55,1.514,37,
batch_020.png,23,27,1.1739,0.8997,0.8233,0.9151,14,0.512,93,
batch_021.png,97,101,1.0412,1.0069,0.9735,0.9668,0,2.421,248,
batch_022.png,109,102,0.9358,1.5534,1.4852,0.9561,38,4.197,251,
batch_023.png,180,174,0.9667,0.6769,0.6926,1.0232,107,3.014,52,
batch_024.png,55,52,0.9455,1.6635,1.6976,1.0205,19,2.267,155,
batch_025.png,33,53,1.6061,1.4611,1.1038,0.7555,5,1.195,327,
batch_026.png,71,67,0.9437,1.3942,1.5315,1.0985,60,2.451,328,
batch_027.png,188,65,0.3457,0.6954,1.9637,2.8238,179,3.234,43,
