i,truth,touching,touch_frac,singles,fill,gray_lo,gray_hi,dimmer_than_real,count,ratio,raw_objects,accepted,ref_area,true_area,degenerate
0,105,37,0.352,68,2.086,62.9,83.6,False,111,1.057,80,80,0.787,0.8016,False
1,150,52,0.347,98,4.05,55.5,97.7,False,150,1.0,116,111,1.053,1.0899,False
2,51,31,0.608,20,2.229,60.4,99.9,False,49,0.961,38,32,1.678,1.7634,False
3,57,0,0.0,57,2.398,74.6,103.3,False,58,1.018,61,57,1.586,1.6973,False
4,69,66,0.957,3,1.244,55.0,98.8,False,25,0.362,22,18,1.905,0.7292,False
5,21,20,0.952,1,0.481,46.5,78.0,False,12,0.571,7,5,0.694,0.9259,True
6,43,14,0.326,29,1.019,58.1,87.5,False,40,0.93,29,27,0.773,0.9569,True
7,152,0,0.0,152,3.33,51.1,87.2,False,154,1.013,161,153,0.829,0.8839,False
8,28,17,0.607,11,1.16,53.8,75.2,False,34,1.214,27,21,1.784,1.6724,False
9,176,167,0.949,9,4.114,47.3,87.0,False,203,1.153,39,31,0.784,0.9448,False
10,34,0,0.0,34,1.05,59.7,97.3,False,34,1.0,40,34,1.13,1.2462,False
11,39,36,0.923,3,1.534,41.3,75.0,False,9,0.231,11,9,1.717,1.5879,True
12,74,62,0.838,12,2.818,73.3,106.0,False,54,0.73,31,29,2.136,1.5372,False
13,208,125,0.601,83,3.606,40.9,66.2,True,194,0.933,128,117,0.7,0.7007,False
14,37,22,0.595,15,1.294,64.6,102.9,False,36,0.973,21,21,1.489,1.4107,False
15,46,43,0.935,3,0.88,62.6,108.2,False,18,0.391,20,15,1.718,0.7745,False
16,134,20,0.149,114,3.809,54.6,97.4,False,135,1.007,127,118,1.089,1.1466,False
17,93,14,0.151,79,1.639,68.9,107.1,False,91,0.978,82,78,0.708,0.7116,False
18,33,20,0.606,13,0.821,45.7,84.2,False,19,0.576,17,16,1.003,1.0051,True
19,95,80,0.842,15,3.401,46.0,72.7,False,108,1.137,40,31,1.306,1.4459,False
20,125,75,0.6,50,3.184,40.0,71.8,False,109,0.872,79,65,0.956,1.0291,False
21,62,53,0.855,9,1.873,40.2,74.5,False,9,0.145,11,9,1.353,1.2198,True
22,59,56,0.949,3,2.333,50.2,74.6,False,66,1.119,17,10,1.409,1.5972,False
23,100,35,0.35,65,2.174,72.7,94.8,False,106,1.06,72,70,0.822,0.8782,False
24,131,0,0.0,131,2.704,68.6,103.0,False,137,1.046,132,132,0.786,0.833,False
25,19,3,0.158,16,0.716,50.0,93.2,False,17,0.895,18,15,1.53,1.5192,False
26,111,94,0.847,17,3.964,43.2,88.2,False,93,0.838,45,38,1.34,1.4427,False
27,58,9,0.155,49,1.77,68.2,100.4,False,59,1.017,51,51,1.209,1.2316,False
28,35,5,0.143,30,1.395,65.0,90.0,False,35,1.0,35,32,1.568,1.6068,False
29,46,0,0.0,46,1.028,48.0,78.2,False,53,1.152,59,47,0.701,0.9016,False
30,97,91,0.938,6,2.158,65.2,88.7,False,47,0.485,23,17,1.803,0.8993,False
31,7,4,0.571,3,0.232,45.3,82.9,False,7,1.0,4,2,0.559,1.3385,True
32,13,8,0.615,5,0.405,63.4,95.8,False,11,0.846,11,8,1.401,1.2593,True
33,48,46,0.958,2,1.745,73.1,97.3,False,18,0.375,20,18,3.449,1.4671,False
34,106,64,0.604,42,1.865,40.3,78.3,False,87,0.821,62,54,0.717,0.7108,False
35,132,20,0.152,112,3.914,54.9,80.3,False,132,1.0,123,118,1.168,1.1965,False
36,20,12,0.6,8,0.966,59.2,87.6,False,20,1.0,13,11,2.003,1.9506,False
37,6,5,0.833,1,0.245,69.6,106.4,False,3,0.5,5,3,2.656,1.6517,True
38,12,3,0.25,9,0.403,76.3,121.2,False,13,1.083,11,11,1.293,1.356,False
39,196,167,0.852,29,4.119,70.2,106.0,False,211,1.077,52,47,0.791,0.8496,False
40,17,6,0.353,11,0.522,52.7,92.1,False,10,0.588,9,7,1.01,1.2399,True
41,93,79,0.849,14,4.054,46.3,67.8,True,107,1.151,24,22,1.511,1.7599,False
42,33,30,0.909,3,1.256,65.2,92.4,False,163,4.939,14,12,0.32,1.5368,False
43,139,21,0.151,118,2.763,74.2,102.7,False,142,1.022,124,122,0.755,0.802,False
44,41,13,0.317,28,1.176,48.1,93.4,False,45,1.098,38,29,0.968,1.1576,False
45,68,0,0.0,68,3.02,68.6,101.1,False,69,1.015,68,68,1.684,1.7909,False
46,75,0,0.0,75,3.024,77.3,117.1,False,75,1.0,76,75,1.532,1.6266,False
47,14,0,0.0,14,0.351,51.7,90.6,False,9,0.643,10,9,0.796,1.0128,True
48,33,20,0.606,13,1.011,64.1,103.0,False,32,0.97,19,19,1.257,1.2375,False
49,71,67,0.944,4,2.868,52.2,82.1,False,60,0.845,26,19,1.847,1.6314,False
50,41,25,0.61,16,1.221,73.0,114.3,False,46,1.122,19,19,1.03,1.2025,False
51,3,0,0.0,3,0.118,64.8,90.2,False,3,1.0,5,3,1.136,1.5839,True
52,77,65,0.844,12,3.059,48.0,71.4,False,30,0.39,28,22,1.189,1.6046,True
53,144,86,0.597,58,3.908,66.5,105.4,False,160,1.111,71,68,0.971,1.0964,False
54,71,60,0.845,11,2.4,49.3,86.8,False,58,0.817,31,26,1.641,1.3642,False
55,70,42,0.6,28,2.695,73.2,102.1,False,56,0.8,49,46,1.955,1.5535,False
56,22,3,0.136,19,0.43,54.3,74.5,False,9,0.409,9,9,0.691,0.7883,True
57,42,6,0.143,36,1.518,60.3,100.2,False,42,1.0,39,37,1.408,1.4584,False
58,35,0,0.0,35,1.355,65.3,91.5,False,36,1.029,36,35,1.462,1.5609,False
59,24,23,0.958,1,0.572,64.6,93.6,False,7,0.292,3,2,2.918,0.9651,False
