i,truth,touching,fill,true_area,current,current_area,ref_fix,ref_fix_area
0,105,37,2.086,0.8016,111,0.7800099607142854,113,0.7800099607142854
1,150,52,4.05,1.0899,150,1.0916471108276642,150,1.0916471108276642
2,51,31,2.229,1.7634,49,1.849244392512077,57,1.7401398888888886
3,57,0,2.398,1.6973,58,1.6689754766865075,58,1.6689754766865075
4,69,66,1.244,0.7292,25,1.8298201157407405,25,1.8298201157407405
5,21,20,0.481,0.9259,12,0.8430762708333333,12,0.8430762708333333
6,43,14,1.019,0.9569,40,0.8550437820512821,39,0.8550437820512821
7,152,0,3.33,0.8839,154,0.8661880195540934,154,0.8661880195540934
8,28,17,1.16,1.6724,34,2.0585382962962964,38,1.8647605384615384
9,176,167,4.114,0.9448,203,0.8105511773504273,194,0.8105511773504273
10,34,0,1.05,1.2462,34,1.2429081192810456,34,1.2429081192810456
11,39,36,1.534,1.5879,9,1.868275833333333,9,1.868275833333333
12,74,62,2.818,1.5372,54,2.0681260907407406,79,1.5233584484126985
13,208,125,3.606,0.7007,194,0.7205504133454106,194,0.7205504133454106
14,37,22,1.294,1.4107,36,1.4392743018518521,36,1.4392743018518521
15,46,43,0.88,0.7745,18,2.029152269230769,18,2.029152269230769
16,134,20,3.809,1.1466,135,1.1292580141369046,135,1.1292580141369046
17,93,14,1.639,0.7116,91,0.724379457070707,91,0.724379457070707
18,33,20,0.821,1.0051,19,1.0336640873015874,19,1.0336640873015874
19,95,80,3.401,1.4459,108,1.3706750996732024,110,1.3706750996732024
20,125,75,3.184,1.0291,109,0.9585464699999998,111,0.9489931122004356
21,62,53,1.873,1.2198,9,1.359814086419753,9,1.359814086419753
22,59,56,2.333,1.5972,66,1.8255638518518518,66,1.8255638518518518
23,100,35,2.174,0.8782,106,0.8513354905982907,106,0.8513354905982907
24,131,0,2.704,0.833,137,0.8020852293836804,136,0.8020852293836804
25,19,3,0.716,1.5192,17,1.576769759920635,17,1.576769759920635
26,111,94,3.964,1.4427,93,1.4560213504273505,97,1.4128287155555554
27,58,9,1.77,1.2316,59,1.2144352951388888,59,1.2144352951388888
28,35,5,1.395,1.6068,35,1.6175445546296294,36,1.5722376168582373
29,46,0,1.028,0.9016,53,0.7870141283068781,49,0.8340997142857143
30,97,91,2.158,0.8993,47,1.849085310185185,47,1.849085310185185
31,7,4,0.232,1.3385,7,0.8409481388888889,7,0.8409481388888889
32,13,8,0.405,1.2593,11,1.4743954126984125,11,1.4743954126984125
33,48,46,1.745,1.4671,18,3.7599735632716045,18,3.7599735632716045
34,106,64,1.865,0.7108,87,0.702719779239766,98,0.6603324001501502
35,132,20,3.914,1.1965,132,1.1900626849349347,132,1.1900626849349347
36,20,12,0.966,1.9506,20,1.98336296875,20,1.98336296875
37,6,5,0.245,1.6517,3,3.1358957592592596,3,3.1358957592592596
38,12,3,0.403,1.356,13,1.2836891888888888,13,1.2836891888888888
39,196,167,4.119,0.8496,211,0.7631457978927203,226,0.7631457978927203
