truth,touching,fill,true_area,current,min3,min5,min10
105,37,2.086,0.8016,111,113,113,113
150,52,4.05,1.0899,150,150,150,150
51,31,2.229,1.7634,49,57,57,57
57,0,2.398,1.6973,58,58,58,58
69,66,1.244,0.7292,25,85,85,25
21,20,0.481,0.9259,12,12,12,12
43,14,1.019,0.9569,40,39,39,39
152,0,3.33,0.8839,154,154,154,154
28,17,1.16,1.6724,34,38,38,38
176,167,4.114,0.9448,203,194,194,194
34,0,1.05,1.2462,34,34,34,34
39,36,1.534,1.5879,9,10,9,9
74,62,2.818,1.5372,54,79,79,79
208,125,3.606,0.7007,194,194,194,194
37,22,1.294,1.4107,36,36,36,36
46,43,0.88,0.7745,18,72,72,18
134,20,3.809,1.1466,135,135,135,135
93,14,1.639,0.7116,91,91,91,91
33,20,0.821,1.0051,19,19,19,19
95,80,3.401,1.4459,108,110,110,110
125,75,3.184,1.0291,109,111,111,111
62,53,1.873,1.2198,9,8,8,9
59,56,2.333,1.5972,66,97,97,66
100,35,2.174,0.8782,106,106,106,106
131,0,2.704,0.833,137,136,136,136
19,3,0.716,1.5192,17,17,17,17
111,94,3.964,1.4427,93,97,97,97
58,9,1.77,1.2316,59,59,59,59
35,5,1.395,1.6068,35,36,36,36
46,0,1.028,0.9016,53,49,49,49
97,91,2.158,0.8993,47,121,121,47
7,4,0.232,1.3385,7,7,7,7
13,8,0.405,1.2593,11,11,11,11
48,46,1.745,1.4671,18,48,18,18
106,64,1.865,0.7108,87,98,98,98
132,20,3.914,1.1965,132,132,132,132
20,12,0.966,1.9506,20,20,20,20
6,5,0.245,1.6517,3,3,3,3
12,3,0.403,1.356,13,13,13,13
196,167,4.119,0.8496,211,226,226,226
17,6,0.522,1.2399,10,13,13,10
93,79,4.054,1.7599,107,107,107,107
33,30,1.256,1.5368,163,48,48,163
139,21,2.763,0.802,142,142,142,142
41,13,1.176,1.1576,45,41,41,41
68,0,3.02,1.7909,69,69,69,69
75,0,3.024,1.6266,75,75,75,75
14,0,0.351,1.0128,9,9,9,9
33,20,1.011,1.2375,32,33,33,33
71,67,2.868,1.6314,60,101,101,60
41,25,1.221,1.2025,46,46,46,46
3,0,0.118,1.5839,3,3,3,3
77,65,3.059,1.6046,30,32,32,32
144,86,3.908,1.0964,160,160,160,160
71,60,2.4,1.3642,58,65,65,65
70,42,2.695,1.5535,56,69,69,69
22,3,0.43,0.7883,9,9,9,9
42,6,1.518,1.4584,42,42,42,42
35,0,1.355,1.5609,36,36,36,36
24,23,0.572,0.9651,7,7,7,7
94,56,2.584,1.1096,111,116,116,116
81,77,3.526,1.7577,171,464,464,171
126,120,3.812,1.2229,299,316,316,299
128,45,3.629,1.1448,132,132,132,132
21,13,0.41,0.7879,27,27,27,27
114,96,3.715,1.3162,148,152,152,152
111,105,3.048,1.1099,144,145,145,144
45,0,2.1,1.8828,50,50,50,50
29,25,1.126,1.5678,6,6,6,6
185,157,4.221,0.9219,173,202,202,202
112,17,3.669,1.3219,113,113,113,113
26,22,1.009,1.5661,30,33,33,30
38,22,1.572,1.6698,37,41,41,41
63,8,2.097,1.3431,65,65,65,65
149,89,2.756,0.747,149,149,149,149
141,120,3.352,0.9606,137,138,138,138
10,8,0.396,1.5981,9,9,9,9
60,9,1.29,0.8675,61,61,61,61
45,7,0.975,0.8751,48,48,48,48
57,54,1.18,0.8373,42,56,42,42
62,0,2.434,1.5834,62,61,61,61
76,11,2.742,1.4552,75,75,75,75
29,17,1.169,1.6271,30,30,30,30
72,10,1.727,0.9678,72,72,72,72
12,0,0.531,1.7859,2,2,2,2
47,28,1.517,1.304,45,46,46,46
68,10,1.554,0.922,68,68,68,68
115,98,3.179,1.1177,125,137,137,137
45,38,0.897,0.8059,43,43,43,43
53,19,1.695,1.2911,3,3,3,3
27,8,0.857,1.2817,10,10,10,10
69,66,1.501,0.8799,60,80,80,60
108,103,2.835,1.0612,46,124,124,124
6,0,0.284,1.9088,6,6,6,6
21,20,0.917,1.7626,47,47,47,47
98,15,2.489,1.0248,100,100,100,100
91,55,3.271,1.4517,91,92,92,92
95,14,2.158,0.9166,95,97,97,97
94,89,4.067,1.7475,85,85,85,85
103,0,2.507,0.9818,103,103,103,103
45,0,1.782,1.597,15,14,14,14
25,8,0.794,1.2827,20,19,19,19
83,50,2.895,1.4084,2,2,2,2
49,47,2.231,1.8392,38,38,38,38
49,42,1.655,1.3636,22,58,58,22
16,0,0.393,0.9892,11,11,11,11
13,8,0.418,1.2981,12,15,15,12
28,26,1.16,1.6724,19,98,19,19
25,24,0.897,1.4517,16,16,16,16
82,29,3.11,1.5307,87,86,86,86
111,105,3.528,1.2839,104,113,113,104
46,44,1.826,1.604,29,45,29,29
177,0,4.028,0.9181,179,179,179,179
84,0,2.78,1.335,60,60,60,60
48,41,2.114,1.778,56,56,56,56
120,0,2.199,0.7398,122,122,122,122
8,8,0.182,0.918,7,7,7,7
105,100,3.286,1.2652,85,109,109,109
112,106,3.584,1.2927,92,146,146,92
50,42,1.272,1.029,60,61,61,60
