method,file,preset,true_count,count,count_ratio,true_area,area,area_ratio
otsu,healthy_0.png,healthy,900,901,1.0011,1.5115,1.4956,0.9895
otsu,touching_0.png,touching,900,895,0.9944,1.5161,1.5359,1.0131
otsu,heavy_clump_0.png,heavy_clump,900,1049,1.1656,1.5357,1.4085,0.9172
otsu,sparse_0.png,sparse,12,2471,205.9167,0.776,0.2096,0.2701
otsu,sparse_clump_0.png,sparse_clump,40,1821,45.525,0.9375,0.2057,0.2194
otsu,field_0.png,field,1150,1203,1.0461,1.5074,1.4808,0.9823
otsu,banded_0.png,banded,600,605,1.0083,1.5111,1.5025,0.9943
otsu,shrivelled_0.png,shrivelled,900,907,1.0078,0.811,0.7796,0.9613
otsu,dense_dark_0.png,dense_dark,1200,1237,1.0308,1.524,1.4917,0.9788
triangle,healthy_0.png,healthy,900,919,1.0211,1.5115,1.5613,1.0329
triangle,touching_0.png,touching,900,986,1.0956,1.5161,1.5471,1.0205
triangle,heavy_clump_0.png,heavy_clump,900,4691,5.2122,1.5357,0.2891,0.1882
triangle,sparse_0.png,sparse,12,90,7.5,0.776,0.335,0.4317
triangle,sparse_clump_0.png,sparse_clump,40,207,5.175,0.9375,0.2508,0.2675
triangle,field_0.png,field,1150,1699,1.4774,1.5074,1.3141,0.8718
triangle,banded_0.png,banded,600,635,1.0583,1.5111,1.5498,1.0256
triangle,shrivelled_0.png,shrivelled,900,996,1.1067,0.811,0.801,0.9876
triangle,dense_dark_0.png,dense_dark,1200,1286,1.0717,1.524,1.5346,1.0069
yen,healthy_0.png,healthy,900,918,1.02,1.5115,1.5584,1.031
yen,touching_0.png,touching,900,973,1.0811,1.5161,1.5522,1.0238
yen,heavy_clump_0.png,heavy_clump,900,4143,4.6033,1.5357,0.3219,0.2096
yen,sparse_0.png,sparse,12,44,3.6667,0.776,0.4135,0.5328
yen,sparse_clump_0.png,sparse_clump,40,176,4.4,0.9375,0.2515,0.2683
yen,field_0.png,field,1150,1499,1.3035,1.5074,1.412,0.9367
yen,banded_0.png,banded,600,627,1.045,1.5111,1.5464,1.0233
yen,shrivelled_0.png,shrivelled,900,994,1.1044,0.811,0.7987,0.9849
yen,dense_dark_0.png,dense_dark,1200,1300,1.0833,1.524,1.5325,1.0056
fixed_62,healthy_0.png,healthy,900,902,1.0022,1.5115,1.5048,0.9956
fixed_62,touching_0.png,touching,900,901,1.0011,1.5161,1.5283,1.008
fixed_62,heavy_clump_0.png,heavy_clump,900,1114,1.2378,1.5357,1.4048,0.9148
fixed_62,sparse_0.png,sparse,12,17,1.4167,0.776,0.2627,0.3385
fixed_62,sparse_clump_0.png,sparse_clump,40,30,0.75,0.9375,0.4891,0.5217
fixed_62,field_0.png,field,1150,1212,1.0539,1.5074,1.4822,0.9833
fixed_62,banded_0.png,banded,600,606,1.01,1.5111,1.5118,1.0004
fixed_62,shrivelled_0.png,shrivelled,900,389,0.4322,0.811,0.7049,0.8692
