i,truth,touching,singles,fill,master,hardening,patched
0,105,37,68,2.086,98,111,111
1,150,52,98,4.05,136,150,150
2,51,31,20,2.229,40,49,49
3,57,0,57,2.398,58,58,58
4,69,66,3,1.244,22,25,25
5,21,20,1,0.481,503,592,12
6,43,14,29,1.019,62,2795,40
7,152,0,152,3.33,154,154,154
8,28,17,11,1.16,27,34,34
9,176,167,9,4.114,48,203,203
10,34,0,34,1.05,34,34,34
11,39,36,3,1.534,137,3159,9
12,74,62,12,2.818,22,54,54
13,208,125,83,3.606,151,194,194
14,37,22,15,1.294,26,36,36
15,46,43,3,0.88,18,18,18
16,134,20,114,3.809,131,135,135
17,93,14,79,1.639,89,91,91
18,33,20,13,0.821,131,3310,19
19,95,80,15,3.401,47,108,108
20,125,75,50,3.184,87,109,109
21,62,53,9,1.873,85,3850,9
22,59,56,3,2.333,19,66,66
23,100,35,65,2.174,92,106,106
24,131,0,131,2.704,135,137,137
25,19,3,16,0.716,17,17,17
26,111,94,17,3.964,54,93,93
27,58,9,49,1.77,56,59,59
28,35,5,30,1.395,35,35,35
29,46,0,46,1.028,51,53,53
30,97,91,6,2.158,21,47,47
31,7,4,3,0.232,124,5932,7
32,13,8,5,0.405,160,5575,11
33,48,46,2,1.745,18,18,18
34,106,64,42,1.865,69,87,87
35,132,20,112,3.914,130,132,132
36,20,12,8,0.966,14,20,20
37,6,5,1,0.245,136,5001,3
38,12,3,9,0.403,13,13,13
39,196,167,29,4.119,73,211,211
40,17,6,11,0.522,191,6909,10
41,93,79,14,4.054,32,107,107
42,33,30,3,1.256,15,163,163
43,139,21,118,2.763,137,142,142
44,41,13,28,1.176,40,45,45
45,68,0,68,3.02,69,69,69
46,75,0,75,3.024,75,75,75
47,14,0,14,0.351,529,5456,9
48,33,20,13,1.011,23,32,32
49,71,67,4,2.868,26,60,60
50,41,25,16,1.221,28,46,46
51,3,0,3,0.118,344,5044,3
52,77,65,12,3.059,50,3181,30
53,144,86,58,3.908,100,160,160
54,71,60,11,2.4,28,58,58
55,70,42,28,2.695,50,56,56
56,22,3,19,0.43,404,4748,9
57,42,6,36,1.518,41,42,42
58,35,0,35,1.355,36,36,36
59,24,23,1,0.572,3,7,7
